district_id,latitude,longitude
231,28.6066833,76.6580764
232,24.416667,76.25
233,25.4502464,78.5800085
234,21.87705125,84.00905064
235,28.13,75.4
236,29.5,76.25
237,26.2967719,73.0351433
238,26.7577925,94.2079645
239,28.91,78.47
240,21.25,70.333333
241,23.583333,70.0
242,24.97784445,83.57319693
243,29.7996588,76.3989903
244,19.75,83.0
245,26.12755515,91.29987148
246,26.13526375,91.86167063
247,12.637438,80.0459143
248,20.13069385,84.07904761
249,32.166667,76.25
250,20.2692747,81.4932111
251,27.0536345,79.9201719
252,26.4609135,80.3217588
253,26.4600465,79.85551
254,27.8,78.65
255,31.25,75.25
256,10.91571,79.8375761
257,26.51626005,77.05590978
258,26.0,93.5
259,24.8483482,92.33221292
260,18.4346438,79.1322648
261,29.6803266,76.9896254
262,10.9604046,78.077561
263,12.4914722,74.9877613
264,32.3765524,75.5243044
265,25.5433817,87.5690417
266,23.8339621,80.392456
267,25.53609455,81.44672839
268,22.0059254,81.2332055
269,21.5,85.5
270,25.49224065,86.69561901
271,17.2465351,80.1500326
272,22.75,72.833333
273,28.116667,80.716667
274,20.22564715,85.56059465
275,31.586346,78.3968441
276,26.248453,87.90089569
277,33.62512475,75.92105923
278,26.25,89.5
279,26.58687695,90.29293105
280,13.1369996,78.1339606
281,16.6603273,74.19600379
282,8.8870537,76.5907058
283,19.70436465,81.74655021
284,15.3484144,76.1547421
285,19.0,83.0
286,22.51976955,82.62951462
287,23.4396961,82.30967805
288,25.0,76.5
289,9.5994382,76.55399923
290,11.2446144,75.7759372
291,16.6691525,80.7190024
292,12.5136136,78.17402519
293,33.63355885,74.69008704
294,31.96,77.11
295,34.5266079,74.2567173
296,15.8309251,78.0425373
297,26.74,83.89
298,32.5038495,77.58227188
299,27.0827158,93.9978423
300,24.726439,78.50301807
301,18.3983393,76.562087
302,27.8239052,95.861898
303,26.49031725,94.77214247
304,26.8381,80.9346001
305,30.9090157,75.851601
306,22.898553,92.75192292
307,25.9174142,86.7915907
308,26.34803585,86.22727366
309,9.9261153,78.1140983
310,16.380221,78.0744052
311,21.1882332,82.48484763
312,11.7021978,75.5364701
313,28.28,76.15
314,23.666667,72.5
315,25.3697571,79.97990417
316,27.166667,79.0
317,25.0,88.0
318,18.35835435,81.89823749
319,23.75590845,92.45173569
320,31.6723392,76.95331691
321,22.5986352,80.3713545
322,24.333333,75.25
323,12.5238888,76.8961961
324,29.9946852,75.4022224
325,27.4955539,77.6855554
326,25.94,83.56
